block_number;block_timestamp;block_hash;transaction_hash;transaction_index;log_index;value;contract_type;transaction_type;token_address;token_id;from_address;to_address;amount;verified;operator
14405917;2022-03-17T19:37:13.000Z;0xcf55ca7339bcf7540212b31339c7720f2ac39dd38e3fd8e15aa8790896b3a75e;0x36a734373df2bd497a4775944d0a8e68330415df84aa9d336d2485c338ba86fd;12;23;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;222;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405914;2022-03-17T19:36:30.000Z;0x7c8061acbc7edb44a23dac05e94da0eb2eddaad08408adca89a7d0c6ab17c925;0xd6e353d4ea9e9afd80f635ad851f0769eeebba805c762de185926ba43d2e2345;6;44;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;400;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405911;2022-03-17T19:36:05.000Z;0xe4f35fd981a92fb2f6ecb22b3ae56a354b84977f5c0c9a1439d9845fd157a412;0x63c21709e1f4fdaeb5169eb98111fa0d43ad697b3d765c3efbda371b661ea004;0;1;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;420;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405906;2022-03-17T19:35:14.000Z;0xdb10b0836ec7dd7cc3c473f33c59e03a57a820e9b93c5aa97d49601698197faa;0xc54fe210cc9d69b4a18db1b5400fb5b9a5bc96f617434006a42e56eff38879b7;26;79;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;888;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405902;2022-03-17T19:33:36.000Z;0xa6297bfacf2ec32227816ccca5909bb656bc063bd49860cd4e8b2b7879a496f4;0x4a4d11b77658924aa76e8a812b1ed2e7c0f3817f13dc38c1629a6d42fd749541;19;4;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;999;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405597;2022-03-17T18:24:48.000Z;0xca2f26a8a1d5b8478ddbfa4a1ddac9fb9775bc2c67f475913aafb4ded015d036;0x43a56ac7c5ba3af502f105b9618e4f4054f06260a630a66f836b5de4df4536d2;1;6;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;3825;0x9d2b0251d366ce712e75048204c005fd63394f46;0x5df5078ae2e65f05874e57929ca50e0ac689b378;1;1;
14405572;2022-03-17T18:19:53.000Z;0xdccacfed5c4c35e66c0b34cc5159a181bd92854b94d0dd4adc76337f0f2f149b;0xb8d808920677987cba2d8b66a5ad8a588d590fda5b52464bcaddc05a3f78dc81;26;10;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;2139;0x9d2b0251d366ce712e75048204c005fd63394f46;0x5df5078ae2e65f05874e57929ca50e0ac689b378;1;1;
14405562;2022-03-17T18:17:09.000Z;0x37331052de5937422c4038df8e6031223d7eac2b29ce6a055a8c5837235a0bf0;0x7bb718093f534449b913b5390a6a20da67cb4d8b1f4bb051ccd9d19756c5616c;28;171;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;3825;0x5df5078ae2e65f05874e57929ca50e0ac689b378;0x9d2b0251d366ce712e75048204c005fd63394f46;1;1;
14405481;2022-03-17T18:00:47.000Z;0x75c284318ed483f728b2797d039254760d0ff125bb6083db623eb1292d56c04e;0x1dbee90f6b92104fd69553e7fe03b026412bdb65d3144ff20ef3b7b1c64d3ac9;3;5;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;3825;0x36d636d44b3de366295aa605bb638fecef98d6be;0x5df5078ae2e65f05874e57929ca50e0ac689b378;1;1;
14405401;2022-03-17T17:43:03.000Z;0xa8a25d507bf189ef78b6a474bd4a96d58eb97b07c69ecb96bb7ea1782174ee20;0x47e347da217c9d89794b7a253d2557ec41c2cca530243d7982e6a04b973ba076;23;35;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;3915;0xe896675803da7df23c9bbda3646bbd82593b6668;0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685;1;1;
